,,,,,,,,
,,,,,,,,
packet_id,date,time,gw1,gw2,gw3,gw4,Loc ,Floor
14,"[2023, 5, 3]","[13, 4, 3]",-95,-,-108,-,U,0
15,"[2023, 5, 3]","[13, 4, 10]",-95,-108,-108,-114,U,0
16,"[2023, 5, 3]","[13, 4, 17]",-,-107,-109,-112,U,0
17,"[2023, 5, 3]","[13, 5, 45]",-,-109,-108,-113,S1,0
18,"[2023, 5, 3]","[13, 5, 52]",-102,-109,-109,-,S1,0
19,"[2023, 5, 3]","[13, 5, 59]",-102,-110,-109,-114,S1,0
20,"[2023, 5, 3]","[13, 6, 6]",-107,-112,-109,-113,S1,0
21,"[2023, 5, 3]","[13, 10, 9]",-,-81,-99,-105,S0,0
22,"[2023, 5, 3]","[13, 10, 16]",-,-85,-109,-102,S0,0
23,"[2023, 5, 3]","[13, 10, 24]",-,-83,-109,-102,S0,0
24,"[2023, 5, 3]","[13, 10, 31]",-,-79,-102,-106,S0,0
25,"[2023, 5, 3]","[13, 11, 34]",-,-81,-79,-94,C,0
26,"[2023, 5, 3]","[13, 11, 41]",-,-80,-81,-95,C,0
27,"[2023, 5, 3]","[13, 11, 48]",-,-83,-79,-96,C,0
28,"[2023, 5, 3]","[13, 11, 55]",-,-87,-80,-97,C,0
29,"[2023, 5, 3]","[13, 13, 18]",-,-95,-91,-106,N0,0
30,"[2023, 5, 3]","[13, 13, 25]",-,-93,-82,-113,N0,0
31,"[2023, 5, 3]","[13, 13, 32]",-,-96,-84,-106,N0,0
32,"[2023, 5, 3]","[13, 13, 39]",-,-93,-82,-103,N0,0
33,"[2023, 5, 3]","[13, 16, 20]",-,-83,-96,-113,N1,0
34,"[2023, 5, 3]","[13, 16, 27]",-111,-89,-102,-112,N1,0
35,"[2023, 5, 3]","[13, 16, 34]",-113,-76,-96,-112,N1,0
36,"[2023, 5, 3]","[13, 16, 41]",-111,-80,-106,-,N1,0
37,"[2023, 5, 3]","[13, 19, 39]",-,-,-,-,H,0
38,"[2023, 5, 3]","[13, 19, 47]",-,-,-,-,H,0
39,"[2023, 5, 3]","[13, 19, 54]",-,-,-,-,H,0
41,"[2023, 5, 3]","[13, 24, 1]",-,-94,-109,-,E,0
42,"[2023, 5, 3]","[13, 24, 8]",-,-96,-,-,E,0
43,"[2023, 5, 3]","[13, 24, 15]",-,-94,-,-,E,0
44,"[2023, 5, 3]","[13, 24, 22]",-,-97,-111,-,E,0
45,"[2023, 5, 3]","[13, 26, 43]",-113,-107,-88,-105,W,0
46,"[2023, 5, 3]","[13, 26, 50]",-,-105,-87,-105,W,0
47,"[2023, 5, 3]","[13, 26, 57]",-,-109,-93,-102,W,0
48,"[2023, 5, 3]","[13, 27, 4]",-114,-104,-93,-103,W,0
49,"[2023, 5, 3]","[13, 31, 29]",-,-113,-107,-113,U,1
50,"[2023, 5, 3]","[13, 31, 36]",-73,-113,-106,-113,U,1
51,"[2023, 5, 3]","[13, 31, 43]",-67,-110,-107,-112,U,1
52,"[2023, 5, 3]","[13, 31, 50]",-69,-114,-108,-,U,1
53,"[2023, 5, 3]","[13, 34, 17]",-113,-103,-87,-100,S1,1
54,"[2023, 5, 3]","[13, 34, 24]",-,-106,-85,-104,S1,1
55,"[2023, 5, 3]","[13, 34, 31]",-114,-97,-87,-104,S1,1
56,"[2023, 5, 3]","[13, 34, 38]",-,-,-87,-105,S1,1
57,"[2023, 5, 3]","[13, 36, 54]",-,-81,-87,-102,S0,1
58,"[2023, 5, 3]","[13, 37, 1]",-,-79,-95,-101,S0,1
59,"[2023, 5, 3]","[13, 37, 8]",-,-75,-86,-99,S0,1
60,"[2023, 5, 3]","[13, 37, 15]",-,-71,-88,-100,S0,1
61,"[2023, 5, 3]","[13, 38, 7]",-,-73,-78,-85,C,1
62,"[2023, 5, 3]","[13, 38, 14]",-,-75,-71,-91,C,1
63,"[2023, 5, 3]","[13, 38, 21]",-,-78,-78,-90,C,1
64,"[2023, 5, 3]","[13, 38, 28]",-114,-78,-75,-89,C,1
65,"[2023, 5, 3]","[13, 41, 6]",-,-79,-96,-110,N0,1
66,"[2023, 5, 3]","[13, 41, 14]",-,-79,-90,-103,N0,1
67,"[2023, 5, 3]","[13, 41, 21]",-,-81,-89,-105,N0,1
68,"[2023, 5, 3]","[13, 41, 28]",-,-79,-91,-108,N0,1
69,"[2023, 5, 3]","[13, 43, 24]",-,-96,-91,-113,N1,1
70,"[2023, 5, 3]","[13, 43, 31]",-,-93,-100,-111,N1,1
71,"[2023, 5, 3]","[13, 43, 38]",-,-93,-101,-111,N1,1
72,"[2023, 5, 3]","[13, 43, 45]",-,-92,-97,-108,N1,1
73,"[2023, 5, 3]","[13, 46, 17]",-,-95,-100,-,H,1
74,"[2023, 5, 3]","[13, 46, 24]",-,-96,-100,-,H,1
75,"[2023, 5, 3]","[13, 46, 31]",-,-95,-106,-,H,1
76,"[2023, 5, 3]","[13, 46, 38]",-,-97,-108,-,H,1
77,"[2023, 5, 3]","[13, 49, 58]",-,-79,-100,-110,E,1
78,"[2023, 5, 3]","[13, 50, 7]",-,-76,-99,-111,E,1
79,"[2023, 5, 3]","[13, 50, 14]",-,-79,-103,-112,E,1
80,"[2023, 5, 3]","[13, 50, 21]",-,-75,-108,-,E,1
81,"[2023, 5, 3]","[13, 56, 34]",-,-,-91,-81,W,1
82,"[2023, 5, 3]","[13, 56, 41]",-,-,-96,-77,W,1
83,"[2023, 5, 3]","[13, 56, 48]",-,-,-91,-78,W,1
84,"[2023, 5, 3]","[13, 56, 55]",-,-113,-91,-79,W,1
